codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
314,Jeep,29,COMPASS SPORT T270 1.3 TB 4x2 Flex Aut.,9460,32000 Gasolina,32000-1,017072-0,Jeep,COMPASS SPORT T270 1.3 TB 4x2 Flex Aut.,"R$ 184.916,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,Jeep,29,Renegade T270 1.3 TB 4x2 Flex Aut.,10680,32000 Gasolina,32000-1,017092-5,Jeep,Renegade T270 1.3 TB 4x2 Flex Aut.,"R$ 117.502,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,Land Rover,33,Range R. VEL. R-Dyn. S 2.0 Aut.(Híbrido),10408,32000 Gasolina,32000-1,033214-3,Land Rover,Range R. VEL. R-Dyn. S 2.0 Aut.(Híbrido),"R$ 639.950,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,Porsche,47,Cayenne 3.0 V6 (Híbrido),11040,32000 Gasolina,32000-1,035120-2,Porsche,Cayenne 3.0 V6 (Híbrido),"R$ 962.500,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,Renault,48,KWID Intense (Elétrico) ,10022,32000 Gasolina,32000-1,025318-9,Renault,KWID Intense (Elétrico) ,"R$ 101.347,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:02",1,G
314,Renault,48,Megane E-Tech (Elétrico),10867,32000 Gasolina,32000-1,025321-9,Renault,Megane E-Tech (Elétrico),"R$ 269.100,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:03",1,G
314,Toyota,56,Corolla Altis 1.8 16V Aut. (Híbrido),9984,32000 Gasolina,32000-1,002182-2,Toyota,Corolla Altis 1.8 16V Aut. (Híbrido),"R$ 183.446,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:03",1,G
314,Toyota,56,Corolla Cross SE 1.8 16V Aut. (Híbrido),9324,2022 Gasolina,2022-1,002202-0,Toyota,Corolla Cross SE 1.8 16V Aut. (Híbrido),"R$ 156.410,00",2022,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:03",1,G
314,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
314,Toyota,56,RAV4 2.5 S 4x4  Aut. (Híbrido),10056,2020 Gasolina,2020-1,002179-2,Toyota,RAV4 2.5 S 4x4  Aut. (Híbrido),"R$ 178.907,00",2020,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:03",1,G
314,Volvo,58,C40 Pure  (Elétrico),9968,2022 Gasolina,2022-1,029152-8,Volvo,C40 Pure  (Elétrico),"R$ 272.510,00",2022,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:03",1,G
314,Volvo,58,EX30 E40 Core (Elétrico),11044,32000 Gasolina,32000-1,029164-1,Volvo,EX30 E40 Core (Elétrico),"R$ 230.488,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:03",1,G
314,Volvo,58,XC 60 T-8 INSC. EXPRESS. 2.0 (Híbrido),9933,2022 Gasolina,2022-1,029151-0,Volvo,XC 60 T-8 INSC. EXPRESS. 2.0 (Híbrido),"R$ 289.257,00",2022,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:05",1,G
314,VW - VolksWagen,59,Nivus Sense 1.0 200 TSI Flex Aut.,11068,32000 Gasolina,32000-1,005548-4,VW - VolksWagen,Nivus Sense 1.0 200 TSI Flex Aut.,"R$ 118.371,00",32000,Gasolina,outubro de 2024 ,"terça-feira, 8 de outubro de 2024 19:05",1,G
