codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
256,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 165.210,00",32000,Gasolina,junho de 2020 ,"quarta-feira, 9 de outubro de 2024 12:24",1,G
256,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
258,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 47.063,00",32000,Gasolina,julho de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
258,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 66.885,00",32000,Gasolina,julho de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
258,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 51.655,00",32000,Gasolina,julho de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
258,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 80.490,00",32000,Gasolina,julho de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
258,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 169.774,00",32000,Gasolina,julho de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
258,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
259,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 48.369,00",32000,Gasolina,agosto de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
259,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 66.885,00",32000,Gasolina,agosto de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
259,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 52.670,00",32000,Gasolina,agosto de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
259,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 81.716,00",32000,Gasolina,agosto de 2020 ,"quarta-feira, 9 de outubro de 2024 12:26",1,G
259,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 177.415,00",32000,Gasolina,agosto de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
259,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
260,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 49.014,00",32000,Gasolina,setembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
260,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 65.965,00",32000,Gasolina,setembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
260,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 54.483,00",32000,Gasolina,setembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
260,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 80.369,00",32000,Gasolina,setembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
260,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 183.106,00",32000,Gasolina,setembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
260,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
261,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 49.162,00",32000,Gasolina,outubro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
261,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 64.709,00",32000,Gasolina,outubro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
261,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 55.553,00",32000,Gasolina,outubro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:28",1,G
261,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 80.132,00",32000,Gasolina,outubro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
261,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 189.900,00",32000,Gasolina,outubro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
261,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
262,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 52.055,00",32000,Gasolina,novembro de 2020 ,"quarta-feira, 9 de outubro de 2024 12:30",1,G
