codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
251,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 50.251,00",32000,Gasolina,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:03",1,G
251,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,2020 Gasolina,2020-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 45.979,00",2020,Gasolina,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:03",1,G
251,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 159.000,00",32000,Gasolina,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:04",1,G
251,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,2020 Gasolina,2020-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 127.894,00",2020,Gasolina,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:04",1,G
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 147.000,00",32000,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:04",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2020 Diesel,2020-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 125.966,00",2020,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:04",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2019 Diesel,2019-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 121.505,00",2019,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:04",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2018 Diesel,2018-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 112.021,00",2018,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2017 Diesel,2017-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 105.120,00",2017,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
251,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,2016 Diesel,2016-3,002015-0,Toyota,Hilux CD 4x4 2.8 Diesel Mec.,"R$ 101.896,00",2016,Diesel,fevereiro de 2020 ,"quarta-feira, 9 de outubro de 2024 15:06",1,D
